Model,Temperature,Q_Short,Mean,Median,Mode,Range,Standard Deviation
gpt-3.5-turbo,0.0,Competitive positioning,0.75,0.75,0.75,0.0,0.0
gpt-3.5-turbo,0.0,Employee structure focus,0.0,0.0,0.0,0.0,0.0
gpt-3.5-turbo,0.0,European market revenue,0.1,0.1,0.1,0.0,0.0
gpt-3.5-turbo,0.0,Funding options,1.0,1.0,1.0,0.0,0.0
gpt-3.5-turbo,0.0,Funds allocation for analytics,0.4,0.4,0.4,0.0,0.0
gpt-3.5-turbo,0.0,Growth strategy,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0
gpt-3.5-turbo,0.0,Maximum annual interest rate,0.08,0.08,0.08,0.0,0.0
gpt-3.5-turbo,0.0,Maximum ownership percentage,0.2,0.2,0.2,0.0,0.0
gpt-3.5-turbo,0.0,Minimum ROI,0.24,0.2,0.2,0.09999999999999998,0.0547722557505166
gpt-3.5-turbo,0.0,Minimum revenue increase,0.05,0.05,0.05,0.0,0.0
gpt-3.5-turbo,0.0,Overall attractiveness,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.0,0.0
gpt-3.5-turbo,0.0,Overall performance,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.0,0.0
gpt-3.5-turbo,0.0,Potential market share,0.28,0.28,0.28,0.0,0.0
gpt-3.5-turbo,0.0,Potential net profit growth,0.1,0.1,0.1,0.0,0.0
gpt-3.5-turbo,0.0,Product focus,1.0,1.0,1.0,0.0,0.0
gpt-3.5-turbo,0.0,Strategic priority,0.0,0.0,0.0,0.0,0.0
gpt-3.5-turbo,0.0,Talent development strategy,0.888888888888889,0.8888888888888888,0.8888888888888888,0.0,1.2412670766236366e-16
gpt-3.5-turbo,0.0,TeleHealth platform success,0.75,0.75,0.75,0.0,0.0
gpt-3.5-turbo,0.0,Workforce increase for S&M,0.25,0.25,0.25,0.0,0.0
gpt-3.5-turbo,0.1,Competitive positioning,0.75,0.75,0.75,0.0,0.0
gpt-3.5-turbo,0.1,Employee structure focus,0.0,0.0,0.0,0.0,0.0
gpt-3.5-turbo,0.1,European market revenue,0.12000000000000002,0.1,0.1,0.1,0.044721359549995794
gpt-3.5-turbo,0.1,Funding options,1.0,1.0,1.0,0.0,0.0
gpt-3.5-turbo,0.1,Funds allocation for analytics,0.4,0.4,0.4,0.0,0.0
gpt-3.5-turbo,0.1,Growth strategy,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0
gpt-3.5-turbo,0.1,Maximum annual interest rate,0.088,0.08,0.08,0.020000000000000004,0.010954451150103324
gpt-3.5-turbo,0.1,Maximum ownership percentage,0.2,0.2,0.2,0.0,0.0
gpt-3.5-turbo,0.1,Minimum ROI,0.24,0.2,0.2,0.09999999999999998,0.0547722557505166
gpt-3.5-turbo,0.1,Minimum revenue increase,0.05,0.05,0.05,0.0,0.0
gpt-3.5-turbo,0.1,Overall attractiveness,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.0,0.0
gpt-3.5-turbo,0.1,Overall performance,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.0,0.0
gpt-3.5-turbo,0.1,Potential market share,0.28,0.28,0.28,0.0,0.0
gpt-3.5-turbo,0.1,Potential net profit growth,0.1,0.1,0.1,0.0,0.0
gpt-3.5-turbo,0.1,Product focus,1.0,1.0,1.0,0.0,0.0
gpt-3.5-turbo,0.1,Strategic priority,0.0,0.0,0.0,0.0,0.0
gpt-3.5-turbo,0.1,Talent development strategy,0.888888888888889,0.8888888888888888,0.8888888888888888,0.0,1.2412670766236366e-16
gpt-3.5-turbo,0.1,TeleHealth platform success,0.75,0.75,0.75,0.0,0.0
gpt-3.5-turbo,0.1,Workforce increase for S&M,0.25,0.25,0.25,0.0,0.0
gpt-3.5-turbo,0.2,Competitive positioning,0.75,0.75,0.75,0.0,0.0
gpt-3.5-turbo,0.2,Employee structure focus,0.0,0.0,0.0,0.0,0.0
gpt-3.5-turbo,0.2,European market revenue,0.18,0.2,0.2,0.1,0.044721359549995794
gpt-3.5-turbo,0.2,Funding options,1.0,1.0,1.0,0.0,0.0
gpt-3.5-turbo,0.2,Funds allocation for analytics,0.4,0.4,0.4,0.0,0.0
gpt-3.5-turbo,0.2,Growth strategy,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0
gpt-3.5-turbo,0.2,Maximum annual interest rate,0.092,0.1,0.1,0.020000000000000004,0.010954451150103324
gpt-3.5-turbo,0.2,Maximum ownership percentage,0.2,0.2,0.2,0.0,0.0
gpt-3.5-turbo,0.2,Minimum ROI,0.22000000000000003,0.2,0.2,0.09999999999999998,0.04472135954999579
gpt-3.5-turbo,0.2,Minimum revenue increase,0.05,0.05,0.05,0.0,0.0
gpt-3.5-turbo,0.2,Overall attractiveness,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.0,0.0
gpt-3.5-turbo,0.2,Overall performance,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.0,0.0
gpt-3.5-turbo,0.2,Potential market share,0.28400000000000003,0.28,0.28,0.019999999999999962,0.008944271909999142
gpt-3.5-turbo,0.2,Potential net profit growth,0.1,0.1,0.1,0.0,0.0
gpt-3.5-turbo,0.2,Product focus,1.0,1.0,1.0,0.0,0.0
gpt-3.5-turbo,0.2,Strategic priority,0.2,0.0,0.0,0.5,0.2738612787525831
gpt-3.5-turbo,0.2,Talent development strategy,0.888888888888889,0.8888888888888888,0.8888888888888888,0.0,1.2412670766236366e-16
gpt-3.5-turbo,0.2,TeleHealth platform success,0.75,0.75,0.75,0.0,0.0
gpt-3.5-turbo,0.2,Workforce increase for S&M,0.266,0.25,0.25,0.08000000000000002,0.03577708763999664
gpt-3.5-turbo,0.3,Competitive positioning,0.7,0.75,0.75,0.25,0.11180339887498948
gpt-3.5-turbo,0.3,Employee structure focus,0.0,0.0,0.0,0.0,0.0
gpt-3.5-turbo,0.3,European market revenue,0.126,0.1,0.1,0.1,0.0433589667773576
gpt-3.5-turbo,0.3,Funding options,1.0,1.0,1.0,0.0,0.0
gpt-3.5-turbo,0.3,Funds allocation for analytics,0.4,0.4,0.4,0.0,0.0
gpt-3.5-turbo,0.3,Growth strategy,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0
gpt-3.5-turbo,0.3,Maximum annual interest rate,0.08,0.08,0.08,0.04000000000000001,0.014142135623730954
gpt-3.5-turbo,0.3,Maximum ownership percentage,0.2,0.2,0.2,0.0,0.0
gpt-3.5-turbo,0.3,Minimum ROI,0.22000000000000003,0.2,0.2,0.09999999999999998,0.04472135954999579
gpt-3.5-turbo,0.3,Minimum revenue increase,0.05,0.05,0.05,0.0,0.0
gpt-3.5-turbo,0.3,Overall attractiveness,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.0,0.0
gpt-3.5-turbo,0.3,Overall performance,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.0,0.0
gpt-3.5-turbo,0.3,Potential market share,0.28,0.28,0.28,0.03999999999999998,0.014142135623730944
gpt-3.5-turbo,0.3,Potential net profit growth,0.10400000000000001,0.1,0.1,0.01999999999999999,0.008944271909999153
gpt-3.5-turbo,0.3,Product focus,1.0,1.0,1.0,0.0,0.0
gpt-3.5-turbo,0.3,Strategic priority,0.3,0.5,0.5,0.5,0.2738612787525831
gpt-3.5-turbo,0.3,Talent development strategy,0.888888888888889,0.8888888888888888,0.8888888888888888,0.0,1.2412670766236366e-16
gpt-3.5-turbo,0.3,TeleHealth platform success,0.75,0.75,0.75,0.0,0.0
gpt-3.5-turbo,0.3,Workforce increase for S&M,0.28200000000000003,0.25,0.25,0.08000000000000002,0.043817804600413304
gpt-3.5-turbo,0.4,Competitive positioning,0.6,0.5,0.5,0.25,0.13693063937629152
gpt-3.5-turbo,0.4,Employee structure focus,0.0,0.0,0.0,0.0,0.0
gpt-3.5-turbo,0.4,European market revenue,0.134,0.13,0.1,0.1,0.040987803063838396
gpt-3.5-turbo,0.4,Funding options,1.0,1.0,1.0,0.0,0.0
gpt-3.5-turbo,0.4,Funds allocation for analytics,0.4,0.4,0.4,0.0,0.0
gpt-3.5-turbo,0.4,Growth strategy,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0
gpt-3.5-turbo,0.4,Maximum annual interest rate,0.078,0.08,0.08,0.04000000000000001,0.014832396974191328
gpt-3.5-turbo,0.4,Maximum ownership percentage,0.2,0.2,0.2,0.0,0.0
gpt-3.5-turbo,0.4,Minimum ROI,0.22999999999999998,0.2,0.2,0.09999999999999998,0.04472135954999579
gpt-3.5-turbo,0.4,Minimum revenue increase,0.05,0.05,0.05,0.0,0.0
gpt-3.5-turbo,0.4,Overall attractiveness,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.0,0.0
gpt-3.5-turbo,0.4,Overall performance,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.0,0.0
gpt-3.5-turbo,0.4,Potential market share,0.27999999999999997,0.28,0.28,0.04999999999999999,0.0187082869338697
gpt-3.5-turbo,0.4,Potential net profit growth,0.11200000000000002,0.12,0.12,0.01999999999999999,0.010954451150103317
gpt-3.5-turbo,0.4,Product focus,1.0,1.0,1.0,0.0,0.0
gpt-3.5-turbo,0.4,Strategic priority,0.1,0.0,0.0,0.5,0.223606797749979
gpt-3.5-turbo,0.4,Talent development strategy,0.888888888888889,0.8888888888888888,0.8888888888888888,0.0,1.2412670766236366e-16
gpt-3.5-turbo,0.4,TeleHealth platform success,0.75,0.75,0.75,0.0,0.0
gpt-3.5-turbo,0.4,Workforce increase for S&M,0.248,0.25,0.25,0.010000000000000009,0.004472135954999583
gpt-3.5-turbo,0.5,Competitive positioning,0.7,0.75,0.75,0.25,0.11180339887498948
gpt-3.5-turbo,0.5,Employee structure focus,0.0,0.0,0.0,0.0,0.0
gpt-3.5-turbo,0.5,European market revenue,0.2,0.2,0.2,0.0,0.0
gpt-3.5-turbo,0.5,Funding options,1.0,1.0,1.0,0.0,0.0
gpt-3.5-turbo,0.5,Funds allocation for analytics,0.4,0.4,0.4,0.0,0.0
gpt-3.5-turbo,0.5,Growth strategy,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0
gpt-3.5-turbo,0.5,Maximum annual interest rate,0.094,0.1,0.1,0.020000000000000004,0.008944271909999161
gpt-3.5-turbo,0.5,Maximum ownership percentage,0.2,0.2,0.2,0.0,0.0
gpt-3.5-turbo,0.5,Minimum ROI,0.22000000000000003,0.2,0.2,0.09999999999999998,0.04472135954999579
gpt-3.5-turbo,0.5,Minimum revenue increase,0.05600000000000001,0.05,0.05,0.03,0.013416407864998738
gpt-3.5-turbo,0.5,Overall attractiveness,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.0,0.0
gpt-3.5-turbo,0.5,Overall performance,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.0,0.0
gpt-3.5-turbo,0.5,Potential market share,0.284,0.28,0.27,0.02999999999999997,0.015165750888103085
gpt-3.5-turbo,0.5,Potential net profit growth,0.11599999999999999,0.12,0.12,0.01999999999999999,0.008944271909999154
gpt-3.5-turbo,0.5,Product focus,1.0,1.0,1.0,0.0,0.0
gpt-3.5-turbo,0.5,Strategic priority,0.0,0.0,0.0,0.0,0.0
gpt-3.5-turbo,0.5,Talent development strategy,0.888888888888889,0.8888888888888888,0.8888888888888888,0.0,1.2412670766236366e-16
gpt-3.5-turbo,0.5,TeleHealth platform success,0.75,0.75,0.75,0.0,0.0
gpt-3.5-turbo,0.5,Workforce increase for S&M,0.28200000000000003,0.25,0.25,0.08000000000000002,0.043817804600413304
gpt-3.5-turbo,0.6,Competitive positioning,0.6,0.5,0.5,0.25,0.13693063937629152
gpt-3.5-turbo,0.6,Employee structure focus,0.0,0.0,0.0,0.0,0.0
gpt-3.5-turbo,0.6,European market revenue,0.11800000000000002,0.13,0.13,0.03,0.016431676725154984
gpt-3.5-turbo,0.6,Funding options,1.0,1.0,1.0,0.0,0.0
gpt-3.5-turbo,0.6,Funds allocation for analytics,0.4,0.4,0.4,0.0,0.0
gpt-3.5-turbo,0.6,Growth strategy,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0
gpt-3.5-turbo,0.6,Maximum annual interest rate,0.092,0.1,0.1,0.06,0.02280350850198276
gpt-3.5-turbo,0.6,Maximum ownership percentage,0.2,0.2,0.2,0.0,0.0
gpt-3.5-turbo,0.6,Minimum ROI,0.25,0.25,0.2,0.09999999999999998,0.04999999999999999
gpt-3.5-turbo,0.6,Minimum revenue increase,0.076,0.08,0.05,0.05,0.025099800796022267
gpt-3.5-turbo,0.6,Overall attractiveness,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.0,0.0
gpt-3.5-turbo,0.6,Overall performance,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.0,0.0
gpt-3.5-turbo,0.6,Potential market share,0.264,0.26,0.26,0.030000000000000027,0.01140175425099139
gpt-3.5-turbo,0.6,Potential net profit growth,0.1,0.1,0.1,0.0,0.0
gpt-3.5-turbo,0.6,Product focus,1.0,1.0,1.0,0.0,0.0
gpt-3.5-turbo,0.6,Strategic priority,0.1,0.0,0.0,0.5,0.22360679774997902
gpt-3.5-turbo,0.6,Talent development strategy,0.888888888888889,0.8888888888888888,0.8888888888888888,0.0,1.2412670766236366e-16
gpt-3.5-turbo,0.6,TeleHealth platform success,0.75,0.75,0.75,0.0,0.0
gpt-3.5-turbo,0.6,Workforce increase for S&M,0.31,0.3,0.25,0.16999999999999998,0.07035623639735145
gpt-3.5-turbo,0.7,Competitive positioning,0.65,0.75,0.75,0.25,0.13693063937629152
gpt-3.5-turbo,0.7,Employee structure focus,0.0,0.0,0.0,0.0,0.0
gpt-3.5-turbo,0.7,European market revenue,0.10666,0.1,0.1,0.033299999999999996,0.014892212730148598
gpt-3.5-turbo,0.7,Funding options,1.0,1.0,1.0,0.0,0.0
gpt-3.5-turbo,0.7,Funds allocation for analytics,0.4,0.4,0.4,0.0,0.0
gpt-3.5-turbo,0.7,Growth strategy,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0
gpt-3.5-turbo,0.7,Maximum annual interest rate,0.1,0.1,0.08,0.039999999999999994,0.019999999999999997
gpt-3.5-turbo,0.7,Maximum ownership percentage,0.2,0.2,0.2,0.0,0.0
gpt-3.5-turbo,0.7,Minimum ROI,0.22000000000000003,0.2,0.2,0.19999999999999998,0.08366600265340754
gpt-3.5-turbo,0.7,Minimum revenue increase,0.12,0.15,0.15,0.09999999999999999,0.04472135954999579
gpt-3.5-turbo,0.7,Overall attractiveness,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.0,0.0
gpt-3.5-turbo,0.7,Overall performance,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.0,0.0
gpt-3.5-turbo,0.7,Potential market share,0.264,0.25,0.25,0.04999999999999999,0.02190890230020664
gpt-3.5-turbo,0.7,Potential net profit growth,0.10800000000000001,0.1,0.1,0.01999999999999999,0.010954451150103317
gpt-3.5-turbo,0.7,Product focus,1.0,1.0,1.0,0.0,0.0
gpt-3.5-turbo,0.7,Strategic priority,0.4,0.5,0.5,0.5,0.22360679774997902
gpt-3.5-turbo,0.7,Talent development strategy,0.8444444444444444,0.8888888888888888,0.8888888888888888,0.11111111111111105,0.06085806194501842
gpt-3.5-turbo,0.7,TeleHealth platform success,0.75,0.75,0.75,0.0,0.0
gpt-3.5-turbo,0.7,Workforce increase for S&M,0.244,0.25,0.25,0.08000000000000002,0.02880972058177587
gpt-3.5-turbo,0.8,Competitive positioning,0.65,0.75,0.75,0.25,0.13693063937629152
gpt-3.5-turbo,0.8,Employee structure focus,0.0,0.0,0.0,0.0,0.0
gpt-3.5-turbo,0.8,European market revenue,0.15,0.13,0.2,0.1,0.046904157598234304
gpt-3.5-turbo,0.8,Funding options,1.0,1.0,1.0,0.0,0.0
gpt-3.5-turbo,0.8,Funds allocation for analytics,0.4,0.4,0.4,0.0,0.0
gpt-3.5-turbo,0.8,Growth strategy,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0
gpt-3.5-turbo,0.8,Maximum annual interest rate,0.096,0.08,0.08,0.06,0.027018512172212593
gpt-3.5-turbo,0.8,Maximum ownership percentage,0.2,0.2,0.2,0.0,0.0
gpt-3.5-turbo,0.8,Minimum ROI,0.22000000000000003,0.2,0.2,0.19999999999999998,0.08366600265340754
gpt-3.5-turbo,0.8,Minimum revenue increase,0.09,0.05,0.05,0.09999999999999999,0.054772255750516606
gpt-3.5-turbo,0.8,Overall attractiveness,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.0,0.0
gpt-3.5-turbo,0.8,Overall performance,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.0,0.0
gpt-3.5-turbo,0.8,Potential market share,0.294,0.3,0.3,0.019999999999999962,0.008944271909999146
gpt-3.5-turbo,0.8,Potential net profit growth,0.10800000000000001,0.1,0.1,0.01999999999999999,0.010954451150103317
gpt-3.5-turbo,0.8,Product focus,1.0,1.0,1.0,0.0,0.0
gpt-3.5-turbo,0.8,Strategic priority,0.3,0.5,0.5,0.5,0.2738612787525831
gpt-3.5-turbo,0.8,Talent development strategy,0.8666666666666666,0.8888888888888888,0.8888888888888888,0.11111111111111105,0.0496903994999953
gpt-3.5-turbo,0.8,TeleHealth platform success,0.75,0.75,0.75,0.0,0.0
gpt-3.5-turbo,0.8,Workforce increase for S&M,0.266,0.25,0.25,0.08000000000000002,0.03577708763999664
gpt-3.5-turbo,0.9,Competitive positioning,0.55,0.5,0.5,0.25,0.11180339887498948
gpt-3.5-turbo,0.9,Employee structure focus,0.0,0.0,0.0,0.0,0.0
gpt-3.5-turbo,0.9,European market revenue,0.156,0.16,0.13,0.07,0.02880972058177587
gpt-3.5-turbo,0.9,Funding options,1.0,1.0,1.0,0.0,0.0
gpt-3.5-turbo,0.9,Funds allocation for analytics,0.4,0.4,0.4,0.0,0.0
gpt-3.5-turbo,0.9,Growth strategy,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0
gpt-3.5-turbo,0.9,Maximum annual interest rate,0.10200000000000001,0.1,0.06,0.09,0.034928498393145956
gpt-3.5-turbo,0.9,Maximum ownership percentage,0.2,0.2,0.2,0.0,0.0
gpt-3.5-turbo,0.9,Minimum ROI,0.24,0.2,0.2,0.09999999999999998,0.0547722557505166
gpt-3.5-turbo,0.9,Minimum revenue increase,0.08,0.05,0.05,0.09999999999999999,0.04472135954999579
gpt-3.5-turbo,0.9,Overall attractiveness,0.7555555555555555,0.7777777777777778,0.7777777777777778,0.11111111111111116,0.049690399499995354
gpt-3.5-turbo,0.9,Overall performance,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.0,0.0
gpt-3.5-turbo,0.9,Potential market share,0.27542,0.27,0.2571,0.0529,0.0213279628656841
gpt-3.5-turbo,0.9,Potential net profit growth,0.1092,0.1,0.1,0.025999999999999995,0.012774975538137046
gpt-3.5-turbo,0.9,Product focus,1.0,1.0,1.0,0.0,0.0
gpt-3.5-turbo,0.9,Strategic priority,0.1,0.0,0.0,0.5,0.223606797749979
gpt-3.5-turbo,0.9,Talent development strategy,0.8666666666666666,0.8888888888888888,0.8888888888888888,0.11111111111111105,0.0496903994999953
gpt-3.5-turbo,0.9,TeleHealth platform success,0.75,0.75,0.75,0.0,0.0
gpt-3.5-turbo,0.9,Workforce increase for S&M,0.262,0.25,0.2,0.14999999999999997,0.05718391382198318
gpt-3.5-turbo,1.0,Competitive positioning,0.6666666666666666,0.75,0.75,0.25,0.14433756729740646
gpt-3.5-turbo,1.0,Employee structure focus,0.16666666666666666,0.0,0.0,0.5,0.2886751345948129
gpt-3.5-turbo,1.0,European market revenue,0.14,0.14,0.13,0.01999999999999999,0.009999999999999995
gpt-3.5-turbo,1.0,Funding options,1.0,1.0,1.0,0.0,0.0
gpt-3.5-turbo,1.0,Funds allocation for analytics,0.4000000000000001,0.4,0.4,0.0,6.798699777552591e-17
gpt-3.5-turbo,1.0,Growth strategy,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0
gpt-3.5-turbo,1.0,Maximum annual interest rate,0.13333333333333333,0.1,0.1,0.1,0.05773502691896258
gpt-3.5-turbo,1.0,Maximum ownership percentage,0.20000000000000004,0.2,0.2,0.0,3.3993498887762956e-17
gpt-3.5-turbo,1.0,Minimum ROI,0.2833333333333334,0.25,0.2,0.2,0.10408329997330665
gpt-3.5-turbo,1.0,Minimum revenue increase,0.11953333333333334,0.15,0.0546,0.09939999999999999,0.056269470704222314
gpt-3.5-turbo,1.0,Overall attractiveness,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.0,0.0
gpt-3.5-turbo,1.0,Overall performance,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.0,0.0
gpt-3.5-turbo,1.0,Potential market share,0.26333333333333336,0.26,0.25,0.030000000000000027,0.01527525231651948
gpt-3.5-turbo,1.0,Potential net profit growth,0.10666666666666667,0.1,0.1,0.01999999999999999,0.011547005383792509
gpt-3.5-turbo,1.0,Product focus,1.0,1.0,1.0,0.0,0.0
gpt-3.5-turbo,1.0,Strategic priority,0.16666666666666666,0.0,0.0,0.5,0.2886751345948129
gpt-3.5-turbo,1.0,Talent development strategy,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.0,0.0
gpt-3.5-turbo,1.0,TeleHealth platform success,0.75,0.75,0.75,0.0,0.0
gpt-3.5-turbo,1.0,Workforce increase for S&M,0.2733333333333334,0.25,0.24,0.09000000000000002,0.049328828623162485
gpt-4,0.0,Competitive positioning,0.75,0.75,0.75,0.0,0.0
gpt-4,0.0,Employee structure focus,0.5,0.5,0.5,0.0,0.0
gpt-4,0.0,European market revenue,0.18105263157894738,0.17,0.17,0.03,0.014867838833500562
gpt-4,0.0,Funding options,1.0,1.0,1.0,0.0,0.0
gpt-4,0.0,Funds allocation for analytics,0.4,0.4,0.4,0.0,5.703228632848239e-17
gpt-4,0.0,Growth strategy,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,1.1406457265696477e-16
gpt-4,0.0,Maximum annual interest rate,0.06421052631578947,0.06,0.06,0.020000000000000004,0.008377078165833912
gpt-4,0.0,Maximum ownership percentage,0.2,0.2,0.2,0.0,2.851614316424119e-17
gpt-4,0.0,Minimum ROI,0.16842105263157894,0.15,0.15,0.05000000000000002,0.024779731389167614
gpt-4,0.0,Minimum revenue increase,0.11842105263157894,0.1,0.1,0.04999999999999999,0.024779731389167597
gpt-4,0.0,Overall attractiveness,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.0,1.1406457265696477e-16
gpt-4,0.0,Overall performance,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.0,1.1406457265696477e-16
gpt-4,0.0,Potential market share,0.25,0.25,0.25,0.0,0.0
gpt-4,0.0,Potential net profit growth,0.13,0.13,0.13,0.0,2.851614316424119e-17
gpt-4,0.0,Product focus,1.0,1.0,1.0,0.0,0.0
gpt-4,0.0,Strategic priority,0.0,0.0,0.0,0.0,0.0
gpt-4,0.0,Talent development strategy,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.0,1.1406457265696477e-16
gpt-4,0.0,TeleHealth platform success,0.75,0.75,0.75,0.0,0.0
gpt-4,0.0,Workforce increase for S&M,0.2605263157894737,0.25,0.25,0.09999999999999998,0.03153017676423057
gpt-4,0.1,Competitive positioning,0.75,0.75,0.75,0.0,0.0
gpt-4,0.1,Employee structure focus,0.5,0.5,0.5,0.0,0.0
gpt-4,0.1,European market revenue,0.18166666666666667,0.17,0.17,0.03,0.015048939771136506
gpt-4,0.1,Funding options,1.0,1.0,1.0,0.0,0.0
gpt-4,0.1,Funds allocation for analytics,0.4,0.4,0.4,0.0,5.712050337475533e-17
gpt-4,0.1,Growth strategy,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,1.1424100674951067e-16
gpt-4,0.1,Maximum annual interest rate,0.06333333333333332,0.06,0.06,0.020000000000000004,0.007669649888473707
gpt-4,0.1,Maximum ownership percentage,0.2,0.2,0.2,0.0,2.856025168737767e-17
gpt-4,0.1,Minimum ROI,0.19444444444444445,0.2,0.2,0.05000000000000002,0.01616904166908887
gpt-4,0.1,Minimum revenue increase,0.13055555555555556,0.1,0.1,0.1,0.03887721580176147
gpt-4,0.1,Overall attractiveness,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.0,1.1424100674951067e-16
gpt-4,0.1,Overall performance,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.0,1.1424100674951067e-16
gpt-4,0.1,Potential market share,0.25,0.25,0.25,0.0,0.0
gpt-4,0.1,Potential net profit growth,0.13,0.13,0.13,0.0,0.0
gpt-4,0.1,Product focus,1.0,1.0,1.0,0.0,0.0
gpt-4,0.1,Strategic priority,0.0,0.0,0.0,0.0,0.0
gpt-4,0.1,Talent development strategy,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.0,1.1424100674951067e-16
gpt-4,0.1,TeleHealth platform success,0.75,0.75,0.75,0.0,0.0
gpt-4,0.1,Workforce increase for S&M,0.25,0.25,0.25,0.0,0.0
gpt-4,0.2,Competitive positioning,0.75,0.75,0.75,0.0,0.0
gpt-4,0.2,Employee structure focus,0.375,0.5,0.5,0.5,0.22360679774997896
gpt-4,0.2,European market revenue,0.185,0.185,0.17,0.03,0.015491933384829668
gpt-4,0.2,Funding options,1.0,1.0,1.0,0.0,0.0
gpt-4,0.2,Funds allocation for analytics,0.4,0.4,0.4,0.0,0.0
gpt-4,0.2,Growth strategy,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0
gpt-4,0.2,Maximum annual interest rate,0.06,0.06,0.06,0.0,0.0
gpt-4,0.2,Maximum ownership percentage,0.2,0.2,0.2,0.0,0.0
gpt-4,0.2,Minimum ROI,0.16875,0.15,0.15,0.05000000000000002,0.02500000000000001
gpt-4,0.2,Minimum revenue increase,0.125,0.125,0.1,0.04999999999999999,0.025819888974716106
gpt-4,0.2,Overall attractiveness,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.0,0.0
gpt-4,0.2,Overall performance,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.0,0.0
gpt-4,0.2,Potential market share,0.25,0.25,0.25,0.0,0.0
gpt-4,0.2,Potential net profit growth,0.13,0.13,0.13,0.0,0.0
gpt-4,0.2,Product focus,1.0,1.0,1.0,0.0,0.0
gpt-4,0.2,Strategic priority,0.0,0.0,0.0,0.0,0.0
gpt-4,0.2,Talent development strategy,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.0,0.0
gpt-4,0.2,TeleHealth platform success,0.75,0.75,0.75,0.0,0.0
gpt-4,0.2,Workforce increase for S&M,0.2625,0.25,0.25,0.09999999999999998,0.03415650255319865
gpt-4,0.3,Competitive positioning,0.75,0.75,0.75,0.0,0.0
gpt-4,0.3,Employee structure focus,0.5,0.5,0.5,0.0,0.0
gpt-4,0.3,European market revenue,0.1925,0.2,0.2,0.03,0.013416407864998738
gpt-4,0.3,Funding options,1.0,1.0,1.0,0.0,0.0
gpt-4,0.3,Funds allocation for analytics,0.4,0.4,0.4,0.0,0.0
gpt-4,0.3,Growth strategy,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0
gpt-4,0.3,Maximum annual interest rate,0.0675,0.06,0.06,0.020000000000000004,0.010000000000000002
